codigo_comuna;median_y1;pct_iae_2;pct_iai_2;pct_oficio1_9.0;count_hacinamiento_1;count_hacinamiento_2;count_hacinamiento_3;count_hacinamiento_4;count_hacinamiento_9;pct_trabajo_informal;pct_o25c_1.0;densidad;poblacion;comuna;region;casos_totales
10102;350000.0;0.0;22.026.085.306.000.700;1.775.252.856.955.200;33854.0;1789.0;705.0;406.0;125.0;4.627.765.221.560.160;1.534.803.640.239.400;57.5;33985;Calbuco;Los Lagos;8.0
10104;250000.0;0.0;13.375.739.114.853.900;19.638.351.555.929.300;10886.0;0.0;276.0;0.0;0.0;6.423.664.967.870.590;2.316.675.719.717.540;9.59;12261;Fresia;Los Lagos;0.0
10105;270000.0;0.0;19.451.817.344.672.500;26.904.985.888.993.400;16927.0;246.0;838.0;450.0;0.0;42.563.291.139.240.500;34.698.834.196.891.100;22.2;18428;Frutillar;Los Lagos;7.0
10106;275000.0;0.0;14.544.489.416.760.600;3.558.088.002.532.440;14531.0;240.0;300.0;0.0;0.0;3.451.417.004.048.580;18.299.761.010.583.800;13.7;17068;Los Muermos;Los Lagos;2.0
10107;270000.0;0.0;3.749.868.018.160.700;20.682.989.690.721.600;16677.0;1248.0;1017.0;0.0;0.0;30.016.098.346.260.700;5.207.229.666.562.790;41.8;17591;Llanquihue;Los Lagos;6.0
10108;300000.0;1.519.885.164.232.030;14.869.543.190.070.000;2.616.454.229.432.210;10723.0;1120.0;0.0;0.0;0.0;5.180.381.985.380.800;16.954.022.988.505.700;16.5;14216;Maullin;Los Lagos;14.0
10109;300000.0;8.541.255.657.421.370;20.981.780.201.926.400;17.725.011.084.289.800;40098.0;1953.0;508.0;526.0;0.0;3.084.057.663.769.340;3.841.985.956.764.520;11.0;44578;Puerto Varas;Los Lagos;11.0
10201;300000.0;0.0;1.345.099.908.091.360;1.638.638.304.191.260;55061.0;2104.0;1589.0;0.0;0.0;299.067.563.436.258;3.634.490.750.675.990;92.7;43807;Castro;Los Lagos;8.0
10202;250000.0;0.0;12.992.317.417.096.100;2.423.611.111.111.110;38911.0;1815.0;406.0;0.0;0.0;3.634.834.747.002.040;4.175.640.105.288.340;22.3;38991;Ancud;Los Lagos;83.0
10203;270000.0;0.0;48.137.050.547.159.900;2.530.745.295.599.340;15232.0;120.0;0.0;0.0;0.0;2.859.072.489.869.420;8.523.667.659.715.320;10.9;14858;Chonchi;Los Lagos;0.0
10204;270000.0;0.0;982.532.751.091.703;2.333.333.333.333.330;4122.0;0.0;0.0;0.0;0.0;9.859.154.929.577.460;29.411.764.705.882.300;47.9;3829;Curaco de Velez;Los Lagos;0.0
10205;350000.0;0.0;2.473.961.188.466.170;1.690.555.413.360.630;17001.0;969.0;272.0;0.0;0.0;31.540.888.772.022.000;2.928.603.910.868.570;11.1;13762;Dalcahue;Los Lagos;2.0
10206;300000.0;0.0;2.566.598.360.655.730;4.724.186.704.384.720;3572.0;0.0;152.0;180.0;0.0;2.452.830.188.679.240;2.044.374.009.508.710;40.3;3921;Puqueldon;Los Lagos;0.0
10207;270000.0;0.0;21.352.523.659.305.900;15.660.074.826.296.000;4396.0;544.0;0.0;132.0;0.0;4.779.698.828.778.580;22.365.869.424.692.900;16.2;5385;Queilen;Los Lagos;0.0
10208;320000.0;20.449.375.015.976.000;7.190.511.489.992.580;23.603.361.819.337.500;34555.0;4486.0;0.0;0.0;80.0;38.571.537.232.828.700;17.638.963.223.488.000;8.38;27192;Quellon;Los Lagos;1.0
10209;270000.0;0.0;3.059.527.768.540.070;27.755.252.488.020.600;8502.0;471.0;48.0;0.0;0.0;4.444.444.444.444.440;0.25;19.0;8352;Quemchi;Los Lagos;4.0
10210;300000.0;0.0;8.467.886.616.433.440;17.798.013.245.033.100;7367.0;573.0;336.0;85.0;0.0;3.695.652.173.913.040;13.674.093.490.607.200;50.3;8088;Quinchao;Los Lagos;1.0
10301;280000.0;11.779.102.642.160.000;26.085.226.690.457.900;23.687.703.632.195.000;147999.0;14101.0;3156.0;510.0;121.0;3.417.205.385.208.460;4.114.490.161.001.780;169.8;161460;Osorno;Los Lagos;343.0
10302;290000.0;0.0;4.362.448.584.563.270;3.570.473.388.606.570;7464.0;280.0;452.0;0.0;70.0;21.939.245.167.229.200;3.620.744.511.613.100;05.01;8999;Puerto Octay;Los Lagos;5.0
10303;300000.0;16.314.199.395.770.300;1.868.076.535.750.250;3.122.129.154.282.620;18424.0;1436.0;0.0;0.0;0.0;3.748.238.609.675.900;22.477.718.360.071.300;14.0;20369;Purranque;Los Lagos;32.0
10304;300000.0;2.799.607.072.691.550;27.082.514.734.774.000;2.319.667.877.529.830;8687.0;1401.0;92.0;0.0;0.0;20.883.421.861.895.400;23.407.917.383.821;7.3;11667;Puyehue;Los Lagos;7.0
10305;276000.0;22.760.456.926.908.800;15.391.222.193.592.700;2.655.413.750.514.610;11082.0;329.0;232.0;0.0;0.0;4.435.127.978.817.290;281.767.955.801.105;11.1;14085;Rio Negro;Los Lagos;26.0
10306;300000.0;0.0;117.100.654.789.097;30.732.292.917.166.800;5430.0;932.0;164.0;41.0;0.0;7.129.005.059.021.920;2.005.988.023.952.090;4.95;7512;San Juan de la Costa;Los Lagos;34.0
10307;270000.0;94.864.659.752.087;2.501.897.293.195.040;27.747.402.952.433.000;7179.0;484.0;168.0;75.0;0.0;4.497.737.556.561.080;32.776.451.869.530.600;15.8;10030;San Pablo;Los Lagos;10.0
11101;400000.0;15.225.334.957.369.000;16.384.152.118.013.200;16.888.611.457.899.800;54137.0;3662.0;710.0;528.0;75.0;27.174.668.177.995.500;2.519.635.809.464.260;7.93;57818;Coyhaique;Aysén;3.0
11201;350000.0;4.838.887.055.977.120;17.075.405.989.955.600;13.828.535.571.417.300;26175.0;972.0;0.0;132.0;0.0;3.073.808.519.611.970;20.382.974.861.602.600;0.8;23959;Aysen;Aysén;1.0
11202;350000.0;0.0;10.135.396.518.375.200;10.900.863.842.040.300;4915.0;255.0;0.0;0.0;0.0;3.665.689.149.560.110;0.0;0.41;6517;Cisnes;Aysén;0.0
11301;400000.0;0.0;1.473.053.892.215.560;890.924.229.808.493;2505.0;0.0;0.0;0.0;0.0;4.967.012.252.591.890;8.629.989.212.513.480;0.41;3490;Cochrane;Aysén;0.0
11401;380000.0;0.0;2.032.823.573.293.540;19.696.379.914.363.500;5194.0;168.0;0.0;0.0;0.0;4.598.360.655.737.700;7.990.196.078.431.370;0.85;4865;Chile Chico;Aysén;1.0
11402;100000.0;0.0;9.375;14.905.933.429.811.800;1672.0;0.0;0.0;120.0;0.0;7.226.386.806.596.700;0.0;0.45;2666;Rio Ibanez;Aysén;0.0
12101;431000.0;19.277.642.366.496.700;20.447.103.429.598.400;12.723.961.495.100.100;113303.0;6985.0;851.0;604.0;108.0;19.209.294.456.037.400;35.814.790.896.103.600;7.37;131592;Punta Arenas;Magallanes;945.0
12301;460000.0;2.230.022.713.194.300;26.264.711.955.399.500;20.359.955.005.624.200;4788.0;55.0;0.0;0.0;0.0;14.561.908.679.555.700;10.370.994.940.978.000;0.7;6801;Porvenir;Magallanes;9.0
12401;350000.0;3.629.189.399.844.110;2.153.643.803.585.340;1.748.956.530.591.460;19013.0;1352.0;136.0;0.0;27.0;1.901.062.492.859.590;28.797.930.956.932.400;0.43;21477;Natales;Magallanes;12.0
13101;500000.0;12.198.468.135.813.700;17.510.603.102.926.500;12.208.723.851.171.200;103187.0;17111.0;5411.0;1449.0;399.0;13.612.862.291.939.400;5.497.607.019.409.730;17435.1;404495;Santiago;Metropolitana;3935.0
13102;300000.0;1.657.356.625.363.930;3.798.496.851.513.300;2.187.235.196.420.700;53556.0;3598.0;728.0;1194.0;0.0;2.969.636.422.021.620;6.772.681.490.663.980;3849.1;80832;Cerrillos;Metropolitana;639.0
13103;300000.0;1.520.968.025.961.610;3.603.263.649.551.790;2.276.887.655.928.580;105588.0;7599.0;4728.0;1338.0;0.0;3.641.829.546.582.000;6.608.508.604.206.500;12056.5;132622;Cerro Navia;Metropolitana;851.0
13104;350000.0;878.594.249.201.278;397.361.424.517.974;2.247.470.519.291.020;75754.0;8734.0;1203.0;3827.0;0.0;2.987.210.001.830.870;5.814.139.688.809.410;11865.0;126955;Conchali;Metropolitana;1063.0
13105;305000.0;938.167.146.522.514;372.988.359.415.294;22.015.881.948.352.400;130565.0;17291.0;3566.0;1113.0;636.0;2.336.172.344.689.370;6.701.120.797.011.200;11444.0;162505;El Bosque;Metropolitana;1026.0
13106;360000.0;17.198.627.476.369.200;2.749.902.887.478.950;2.327.689.005.485.330;80992.0;7036.0;1756.0;1240.0;1652.0;2.375.234.521.575.980;594.891.172.131.784;9802.7;147041;Estacion Central;Metropolitana;1466.0
13107;300000.0;18.513.719.599.591.700;3.519.854.146.839.270;2.589.550.934.824.390;73276.0;4833.0;4620.0;3270.0;1212.0;32.027.084.214.980.900;61.052.987.876.177;2202.5;98671;Huechuraba;Metropolitana;669.0
13108;350000.0;8.535.664.710.323.160;3.793.195.821.055.450;21.769.257.420.025.400;33078.0;3636.0;2388.0;1751.0;210.0;14.305.972.639.305.900;6.936.734.693.877.550;14325.9;100281;Independencia;Metropolitana;1699.0
13109;400000.0;1.173.165.950.015.650;3.344.865.648.527.980;9.610.975.654.135.880;54852.0;5099.0;748.0;0.0;0.0;3.121.894.667.108.310;5.032.674.366.035.090;9011.9;90119;La Cisterna;Metropolitana;646.0
13110;360000.0;8.695.213.454.075.030;2.975.316.946.959.890;17.510.801.332.439.100;348085.0;27972.0;6542.0;2875.0;1026.0;2.783.863.717.023.540;6.186.662.418.118.420;5226.7;366916;La Florida;Metropolitana;2514.0
13111;380000.0;18.750.503.540.448.800;2.816.693.372.960.100;2.660.477.510.583.880;98529.0;9656.0;2672.0;0.0;852.0;3.240.223.463.687.150;6.739.437.614.808.530;11657.1;116571;La Granja;Metropolitana;1260.0
13112;300000.0;13.168.542.295.688.500;3.022.660.038.427.520;22.122.782.226.409.100;161636.0;26693.0;5492.0;1695.0;1218.0;4.225.027.513.433.020;7.026.650.997.555.070;5795.3;177335;La Pintana;Metropolitana;1432.0
13113;540000.0;668.965.672.684.653;23.482.543.331.755.500;8.615.022.963.237.050;84634.0;2969.0;0.0;0.0;1131.0;20.843.382.299.203.300;41.210.374.639.769.400;4034.2;92787;La Reina;Metropolitana;384.0
13114;1000000.0;5.580.716.500.148.680;11.974.596.750.763.000;651.635.282.457.879;280239.0;5593.0;0.0;600.0;6129.0;21.904.262.098.436.800;33.456.133.169.600.200;2978.2;294838;Las Condes;Metropolitana;1439.0
13115;400000.0;17.899.315.853.996.100;2.499.940.680.982.320;21.099.695.269.178.800;108942.0;13784.0;984.0;625.0;2100.0;30.230.375.577.709.600;3.774.467.753.255.860;103.4;105833;Lo Barnechea;Metropolitana;742.0
13116;300000.0;3.225.706.230.941.830;3.957.769.978.712.380;2.562.592.047.128.120;67882.0;12836.0;4866.0;955.0;366.0;3.881.704.176.464.000;5.349.691.831.360.860;14114.9;98804;Lo Espejo;Metropolitana;788.0
13117;350000.0;8.854.919.954.117.000;2.428.931.225.375.290;2.321.265.432.904.380;67980.0;6739.0;3320.0;2032.0;133.0;24.160.977.568.699.400;7.076.040.338.472.230;13749.9;96249;Lo Prado;Metropolitana;617.0
13118;350000.0;41.551.838.829.231.200;3.621.353.226.266.270;2.200.688.281.108.490;76961.0;4524.0;2471.0;228.0;0.0;2.616.178.036.885.470;6.280.067.725.361.980;9033.6;116534;Macul;Metropolitana;949.0
13119;400000.0;3.543.311.300.810.830;24.024.458.775.990.700;14.537.479.260.544.500;1038707.0;74029.0;2840.0;2605.0;2889.0;26.180.391.568.899.300;6.220.626.934.169.800;3849.6;521657;Maipu;Metropolitana;2000.0
13120;900000.0;41.433.185.844.185.400;17.238.154.368.481.800;5.889.384.202.162.810;123461.0;2089.0;658.0;379.0;654.0;18.423.147.581.139.000;433.658.055.367.162;13321.7;208237;Nunoa;Metropolitana;1091.0
13121;331500.0;8.402.833.021.119.350;4.033.847.417.177.750;21.492.958.557.728.300;65883.0;8593.0;696.0;2062.0;704.0;2.755.368.814.192.340;5.974.780.841.062.120;10117.4;101174;Pedro Aguirre Cerda;Metropolitana;890.0
13122;350000.0;56.669.306.930.693.000;34.502.178.217.821.700;2.043.805.838.033.670;220762.0;19811.0;8292.0;1425.0;2210.0;2.998.605.939.431.730;5.761.538.461.538.460;4474.1;241599;Penalolen;Metropolitana;2160.0
13123;1087000.0;3.857.322.010.217.730;10.158.821.004.435.500;2.450.154.450.996.910;116095.0;1452.0;0.0;234.0;1032.0;20.618.746.830.190.400;4.064.204.087.438.940;9935.6;142079;Providencia;Metropolitana;706.0
13124;350000.0;14.237.913.658.816.100;28.130.621.602.191.800;21.748.454.297.331.900;255727.0;26610.0;9216.0;5746.0;4550.0;30.153.018.023.466.700;6.495.936.109.670.010;1197.0;230293;Pudahuel;Metropolitana;1095.0
13125;380000.0;17.317.795.289.613.100;2.143.715.774.008.280;22.547.428.956.964.500;225746.0;29662.0;9139.0;4985.0;0.0;1.970.783.309.545.790;5.385.568.607.202.780;3627.8;210410;Quilicura;Metropolitana;1593.0
13126;350000.0;14.037.225.042.301.100;4.274.653.130.287.640;21.126.376.621.960.500;60827.0;7854.0;2576.0;2618.0;0.0;2.887.456.274.753.540;5.900.167.733.117.970;8463.5;110026;Quinta Normal;Metropolitana;879.0
13127;360000.0;2.980.260.905.944.540;1.868.082.759.669.870;21.674.403.044.369.100;82874.0;13478.0;5880.0;2733.0;207.0;2.573.580.820.496.620;5.873.917.364.759.330;9865.7;157851;Recoleta;Metropolitana;2135.0
13128;320000.0;11.013.774.422.223.500;3.938.266.217.673.740;26.658.686.730.506.100;105941.0;12351.0;1617.0;1548.0;0.0;25.727.862.422.688.100;596.060.647.346.192;6131.3;147151;Renca;Metropolitana;967.0
13129;350000.0;11.009.797.724.399.400;2.926.991.150.442.470;23.269.620.122.850.900;54699.0;4045.0;1052.0;3260.0;224.0;33.807.099.161.141.400;5.518.293.860.835.290;9741.4;94492;San Joaquin;Metropolitana;1325.0
13130;410000.0;6.956.078.134.513.790;2.500.370.266.756.620;10.722.569.761.720.600;56150.0;4152.0;0.0;465.0;0.0;2.883.394.085.152.750;5.857.035.185.846.320;10795.4;107954;San Miguel;Metropolitana;1015.0
13131;300000.0;15.002.512.187.504.200;3.304.137.640.716.440;2.491.834.596.659.880;66310.0;4455.0;2876.0;0.0;0.0;3.053.114.660.784.800;6.624.400.750.364.760;11842.8;82900;San Ramon;Metropolitana;1069.0
13132;1000000.0;15.068.437.512.692.400;11.208.588.873.996.400;52.804.868.923.199.700;70548.0;618.0;248.0;0.0;2449.0;18.613.909.652.258.600;21.129.283.939.201.200;3017.1;85384;Vitacura;Metropolitana;485.0
13201;350000.0;61.648.147.891.903.800;29.299.791.980.886.200;2.126.791.205.318.610;770603.0;63865.0;26208.0;6195.0;357.0;2.881.803.568.344.550;6.583.740.347.259.490;6455.8;568106;Puente Alto;Metropolitana;3658.0
13202;350000.0;4.804.138.950.480.410;28.739.837.398.373.900;15.380.483.437.779.700;26165.0;570.0;0.0;325.0;0.0;3.301.732.925.586.130;4.368.678.629.690.040;59.6;26521;Pirque;Metropolitana;136.0
13203;367000.0;6.424.029.818.022.360;19.659.431.411.240.200;15.470.125.057.897.100;11447.0;1331.0;905.0;0.0;0.0;2.845.112.285.336.850;4.102.386.717.398.820;3.64;18189;San Jose de Maipo;Metropolitana;102.0
13301;363000.0;752.792.382.429.191;2.291.166.945.299.180;2.880.308.154.829.010;106412.0;15034.0;1108.0;1265.0;0.0;3.755.449.082.983.150;4.307.242.966.959.410;150.5;146207;Colina;Metropolitana;781.0
13302;360000.0;9.026.718.279.136.030;2.571.965.350.716.810;19.846.819.846.819.800;71216.0;6501.0;368.0;780.0;444.0;3.235.714.077.570.880;38.752.783.964.365.200;225.7;102034;Lampa;Metropolitana;463.0
13303;360000.0;7.460.013.586.117.450;2.130.550.237.757.050;2.690.246.516.613.070;13940.0;1739.0;369.0;145.0;0.0;2.181.408.087.642.980;32.208.376.600.899.900;29.6;19312;Tiltil;Metropolitana;40.0
13401;300000.0;10.391.476.873.849.400;3.856.829.076.490.590;19.944.288.133.932.400;273244.0;35287.0;13084.0;8665.0;1617.0;26.264.130.508.359.800;6.122.166.005.339.780;1943.9;301313;San Bernardo;Metropolitana;1807.0
13402;290000.0;4.081.250.835.226.510;3.004.142.723.506.610;3.006.726.522.128.230;68597.0;5148.0;1085.0;0.0;0.0;2.170.039.759.648.440;4.032.459.425.717.850;451.5;96614;Buin;Metropolitana;358.0
13403;300000.0;1.702.809.969.836.480;4.592.474.996.031.110;2.684.010.152.284.260;27584.0;2662.0;1249.0;0.0;0.0;20.506.793.977.230.900;3.482.361.963.190.180;346.4;25392;Calera de Tango;Metropolitana;50.0
13404;340000.0;0.0;2.666.600.974.126.520;2.273.085.036.048.230;66467.0;3116.0;1292.0;163.0;0.0;2.416.349.560.425.140;2.783.265.335.337.480;88.7;72759;Paine;Metropolitana;177.0
13501;280000.0;7.273.418.942.992.870;29.773.790.083.135.300;29.140.702.200.173.400;98085.0;3047.0;2240.0;3414.0;990.0;40.953.326.713.008.900;4.404.225.999.081.300;91.9;123627;Melipilla;Metropolitana;310.0
